hashkey,score,dict_str
930e2448e7540686189e54124aa6b052,0.8203125,"{'1d_start': 1, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [4, 2, 1, 0.41825607948831833], [3, 0, 9, 0.2091316503382497], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838], [4, 1, 9, 0.7221365666813521]]}"
d9f1c14a55bfd39537060d95aab4f4f8,0.8315416574478149,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [2, 0, 3, 4], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
e9b85982c66e70e23a5f8fda8f4633e7,0.7919583320617676,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [2, 2, 2, 2], [1, 0, 3, 3], [4, 1, 4, 0.5023710429780133], [3, 0, 8, 0.7566094240388855]]}"
4546ec947e66df260c9b250ee598ee1c,0.8264374732971191,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [1, 1, 2, 4], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
de25dc13ed1727ef0e03aeae9cec60ed,0.8240000009536743,"{'1d_start': 4, 'opt': 'SGD', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [0, 0, 5, 3], [0, 1, 4, 2], [4, 2, 4, 0.40360710537671857]]}"
37522dec0bc1419c85fb86656c9224ae,0.7301874756813049,"{'1d_start': 3, 'opt': 'SGD', 'layers': [[0, 0, 3, 4], [1, 0, 3, 4], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
68d223ddc3598c1d47b4df816b7dd797,0.8081041574478149,"{'1d_start': 2, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [1, 2, 3, 3], [4, 1, 6, 0.711630015301909], [4, 1, 4, 0.5023710429780133], [3, 0, 8, 0.7566094240388855]]}"
01857742cb1d4a975d19230ef00e6768,0.8120833039283752,"{'1d_start': 1, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [3, 0, 5, 0.23849624548849932], [3, 0, 9, 0.2091316503382497], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838]]}"
68a734aba69e64839ae35166fab97eb3,0.8227083086967468,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 0, 2, 2], [1, 0, 2, 2], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
e589a60632586209c0fd0ddc123928fd,0.7921249866485596,"{'1d_start': 1, 'opt': 'adam', 'layers': [[1, 2, 3, 3], [3, 0, 9, 0.2091316503382497], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838]]}"
9c8c8cf55435725c406eb4898cc97820,0.812125027179718,"{'1d_start': 1, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [4, 2, 1, 0.41825607948831833], [3, 0, 9, 0.2091316503382497], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838], [3, 2, 6, 0.5341163047841693]]}"
6ed701bdd5d47403dce0351be2e5c4d0,0.8294374942779541,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 0, 3, 4], [0, 0, 5, 3], [0, 2, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
fe75d4b5edb26829367771a5d68a7e5a,0.7929583191871643,"{'1d_start': 4, 'opt': 'adam', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [1, 1, 2, 4], [2, 1, 3, 2], [4, 2, 4, 0.40360710537671857]]}"
7529c972176c1515a7e9f03041f0e01c,0.8421875238418579,"{'1d_start': 1, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [4, 2, 1, 0.41825607948831833], [3, 0, 9, 0.2091316503382497], [4, 1, 4, 0.5023710429780133], [3, 2, 8, 0.3321643716504433], [3, 2, 6, 0.5341163047841693]]}"
873925defd01060ee6fd429902ce528c,0.8215625286102295,"{'1d_start': 1, 'opt': 'adam', 'layers': [[0, 2, 6, 2], [4, 2, 1, 0.41825607948831833], [3, 0, 9, 0.2091316503382497], [4, 1, 4, 0.5023710429780133], [4, 0, 4, 0.5589606580190838], [3, 0, 9, 0.5189391468334161]]}"
d82bae251802b5f44d1a9a0f68ec25a0,0.7695000171661377,"{'1d_start': 5, 'opt': 'adam', 'layers': [[0, 0, 2, 2], [0, 0, 3, 4], [2, 0, 3, 4], [0, 2, 3, 2], [2, 2, 2, 4]]}"
5851944a527270d35350830fb44a3528,0.8252708315849304,"{'1d_start': 3, 'opt': 'adam', 'layers': [[0, 0, 2, 2], [1, 0, 2, 2], [0, 0, 5, 3], [3, 2, 5, 0.5136629411831805], [4, 2, 4, 0.40360710537671857]]}"
